county,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Noble,49,51,49,36,39,36,38,51,31,27,30,35,21,16,17,26,21,18,14,13,13
Ohio,0,?,0,?,0,0,0,?,0,?,?,?,?,?,?,?,1,1,1,1,0
Orange,12,9,19,19,16,22,14,6,8,11,10,13,10,7,16,12,8,14,8,14,9
Owen,24,19,23,17,26,21,15,15,15,18,20,15,22,14,20,11,9,14,18,9,13
Parke,13,14,9,13,5,9,10,10,8,17,10,9,12,11,5,11,8,8,8,5,11
Perry,5,0,6,11,?,6,?,?,?,5,?,8,?,5,6,5,7,4,3,8,5
Pike,5,12,?,7,8,5,5,?,6,?,6,5,?,?,?,?,5,6,4,8,4
Porter,302,235,253,263,243,282,269,291,308,278,266,267,274,211,239,171,195,151,147,140,176
Posey,12,11,12,10,9,6,7,10,11,10,10,11,7,9,6,14,5,5,9,9,11
Pulaski,11,7,10,12,10,7,8,6,13,10,?,6,9,10,11,?,7,6,7,5,4
Putnam,42,37,47,36,25,36,34,31,38,31,40,36,39,25,35,26,28,23,31,23,19
Randolph,36,21,22,24,13,13,18,10,13,10,14,15,14,25,14,10,16,23,14,9,14
Ripley,6,5,?,?,7,11,8,?,12,14,10,5,7,9,12,10,12,4,6,4,5
Rush,25,16,24,18,11,12,11,20,14,11,11,20,18,19,10,11,16,3,9,5,5
Saint Joseph,603,436,511,439,416,370,372,8,457,435,384,296,352,313,292,278,337,312,161,149,142
Scott,?,7,18,11,12,9,14,44,5,10,11,13,10,6,6,13,13,16,8,11,14
Shelby,75,68,61,50,58,61,47,5,47,48,54,53,38,29,40,31,31,36,38,26,41
Spencer,?,7,?,11,12,?,5,385,6,?,?,8,8,7,?,?,5,8,8,8,8
Starke,33,29,22,19,22,23,19,32,20,36,24,15,20,11,27,13,14,15,13,12,5
Steuben,44,35,30,23,30,17,26,32,30,22,16,14,13,8,11,11,5,8,3,3,4
Sullivan,16,15,15,13,19,10,15,11,19,14,16,9,20,9,18,8,7,9,7,10,12
Switzerland,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,0,1,1,0,1
Tippecanoe,341,339,313,305,278,264,255,265,259,274,302,284,264,270,300,265,257,272,228,261,266
