county,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sumner,35,29,48,46,33,32,23,27,18,19,14,16,16,16,12,23,21,41,47,51,39,41,40,40,35,33,27,20,38,31,17,19,20,13,17,6,7,16,12,10,15,10,12
Thomas,3,4,5,5,4,2,2,2,8,0,2,2,0,2,2,3,7,2,9,7,9,7,12,8,3,8,12,8,4,6,8,3,9,1,1,3,1,4,7,1,3,1,6
Trego,5,2,2,7,7,2,2,6,1,3,1,2,2,2,1,1,3,3,1,6,5,4,4,2,4,2,3,0,1,2,1,1,2,4,1,0,1,2,1,0,0,1,1
Wabaunsee,11,8,6,13,11,16,9,10,12,8,8,6,8,7,8,6,4,10,15,8,8,6,8,6,9,8,5,5,6,5,10,6,2,4,5,1,2,2,2,4,2,1,2
Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Washington,4,4,2,6,8,4,4,7,6,2,4,1,1,1,5,1,2,3,5,3,0,4,1,4,1,3,6,2,1,0,1,2,0,3,1,2,1,1,1,2,2,2,0
Wichita,6,2,0,2,2,0,0,1,1,1,1,3,0,1,1,3,2,2,0,2,0,2,3,3,1,1,2,1,2,1,0,2,2,0,0,5,0,1,2,1,2,1,1
Wilson,26,16,18,19,10,5,6,10,14,8,15,5,7,3,1,1,9,13,8,13,6,13,13,17,7,8,8,16,6,13,16,6,11,3,2,6,2,4,1,6,9,3,4
Woodson,938,2,9,5,7,9,8,4,5,4,2,3,3,0,3,4,3,3,8,1,4,3,5,6,4,4,9,3,8,7,6,4,3,3,2,3,1,2,1,1,2,1,1
Wyandotte,0,611,528,765,880,751,787,588,542,498,516,455,571,530,487,446,712,701,614,685,747,767,762,827,807,877,863,790,723,679,749,711,697,612,554,518,478,420,364,396,400,352,360
KANSAS UNKNOWN,8,4,4,0,0,1,15,24,21,9,10,16,16,12,19,"1,781",403,17,10,29,26,36,18,0,20,19,18,33,5,13,17,9,10,32,1,6,46,19,5,3,5,26,48
KANSAS TOTAL,"5,686","5,045","5,722","7,281","7,038","6,291","6,153","5,329","5,319","4,645","4,245","4,052","4,769","4,149","4,175","6,070","6,231","6,394","6,596","6,566","6,806","6,532","6,440","6,392","6,352","6,401","6,298","6,163","5,952","5,628","5,836","5,674","5,511","4,778","4,188","3,912","3,661","3,757","3,685","3,579","3,429","3,405","3,550"
