"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"Florida"	"12"	"Pinellas County, FL"	"12103"	75	8468	8.86
	"Florida"	"12"	"Polk County, FL"	"12105"	56	7420	7.55
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	Missing County	Missing County	Missing County
	"Florida"	"12"	"Sarasota County, FL"	"12115"	16	2818	5.68 (Unreliable)
	"Florida"	"12"	"Seminole County, FL"	"12117"	29	4381	6.62
	"Florida"	"12"	"Volusia County, FL"	"12127"	28	4709	5.95
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	296	45934	6.44
	"Georgia"	"13"	"Chatham County, GA"	"13051"	Missing County	Missing County	Missing County
	"Georgia"	"13"	"Clayton County, GA"	"13063"	Missing County	Missing County	Missing County
	"Georgia"	"13"	"Cobb County, GA"	"13067"	53	9441	5.61
	"Georgia"	"13"	"DeKalb County, GA"	"13089"	61	10857	5.62
	"Georgia"	"13"	"Fulton County, GA"	"13121"	66	13988	4.72
	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	58	11344	5.11
	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	611	88317	6.92
	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	97	13732	7.06
	"Hawaii"	"15"	"Unidentified Counties, HI"	"15999"	21	5256	4.00
	"Idaho"	"16"	"Ada County, ID"	"16001"	18	5045	3.57 (Unreliable)
	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	93	18153	5.12
	"Illinois"	"17"	"Cook County, IL"	"17031"	529	73079	7.24
	"Illinois"	"17"	"DuPage County, IL"	"17043"	66	10768	6.13
	"Illinois"	"17"	"Kane County, IL"	"17089"	46	7230	6.36
	"Illinois"	"17"	"Lake County, IL"	"17097"	46	8444	5.45
	"Illinois"	"17"	"McHenry County, IL"	"17111"	12	3432	3.50 (Unreliable)
	"Illinois"	"17"	"Madison County, IL"	"17119"	22	3234	6.80
	"Illinois"	"17"	"St. Clair County, IL"	"17163"	24	3498	6.86
	"Illinois"	"17"	"Will County, IL"	"17197"	64	8561	7.48
	"Illinois"	"17"	"Winnebago County, IL"	"17201"	30	3783	7.93
	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	291	43171	6.74
	"Indiana"	"18"	"Allen County, IN"	"18003"	38	5309	7.16
	"Indiana"	"18"	"Hamilton County, IN"	"18057"	Missing County	Missing County	Missing County
	"Indiana"	"18"	"Lake County, IN"	"18089"	50	6492	7.70
	"Indiana"	"18"	"Marion County, IN"	"18097"	146	14598	10.00
	"Indiana"	"18"	"St. Joseph County, IN"	"18141"	28	3505	7.99
	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	378	54036	7.00
	"Iowa"	"19"	"Polk County, IA"	"19153"	38	6528	5.82
	"Iowa"	"19"	"Unidentified Counties, IA"	"19999"	150	32191	4.66
	"Kansas"	"20"	"Johnson County, KS"	"20091"	30	7399	4.05
	"Kansas"	"20"	"Sedgwick County, KS"	"20173"	58	8083	7.18
	"Kansas"	"20"	"Unidentified Counties, KS"	"20999"	164	25167	6.52
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	32	3924	8.15
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	73	10204	7.15
	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	275	41656	6.60
	"Louisiana"	"22"	"Caddo Parish, LA"	"22017"	48	3892	12.33
	"Louisiana"	"22"	"East Baton Rouge Parish, LA"	"22033"	70	6084	11.51
	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	24	5858	4.10
	"Louisiana"	"22"	"Orleans Parish, LA"	"22071"	34	4598	7.39
	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	296	41947	7.06
	"Maine"	"23"	"Cumberland County, ME"	"23005"	16	2777	5.76 (Unreliable)
	"Maine"	"23"	"Unidentified Counties, ME"	"23999"	54	10193	5.30
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	31	7063	4.39
	"Maryland"	"24"	"Baltimore County, MD"	"24005"	61	9889	6.17
	"Maryland"	"24"	"Howard County, MD"	"24027"	Missing County	Missing County	Missing County
	"Maryland"	"24"	"Montgomery County, MD"	"24031"	56	13304	4.21
	"Maryland"	"24"	"Prince George's County, MD"	"24033"	117	12185	9.60
	"Maryland"	"24"	"Baltimore city, MD"	"24510"	102	8956	11.39
	"Maryland"	"24"	"Unidentified Counties, MD"	"24999"	137	22404	6.11
	"Massachusetts"	"25"	"Bristol County, MA"	"25005"	17	5872	2.90 (Unreliable)
	"Massachusetts"	"25"	"Essex County, MA"	"25009"	30	8317	3.61
	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	32	5416	5.91
	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	70	17749	3.94
	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	26	7122	3.65
	"Massachusetts"	"25"	"Plymouth County, MA"	"25023"	26	5166	5.03
	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	36	9428	3.82
	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	54	8790	6.14
	"Massachusetts"	"25"	"Unidentified Counties, MA"	"25999"	27	5005	5.39
	"Michigan"	"26"	"Genesee County, MI"	"26049"	31	5240	5.92
	"Michigan"	"26"	"Ingham County, MI"	"26065"	14	3352	4.18 (Unreliable)
	"Michigan"	"26"	"Kalamazoo County, MI"	"26077"	Missing County	Missing County	Missing County
	"Michigan"	"26"	"Kent County, MI"	"26081"	54	8596	6.28
	"Michigan"	"26"	"Macomb County, MI"	"26099"	45	9108	4.94
	"Michigan"	"26"	"Oakland County, MI"	"26125"	84	13091	6.42
	"Michigan"	"26"	"Ottawa County, MI"	"26139"	Missing County	Missing County	Missing County
	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	22	3819	5.76
	"Michigan"	"26"	"Wayne County, MI"	"26163"	235	24209	9.71
	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	330	47116	7.00
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	15	4191	3.58 (Unreliable)
	"Minnesota"	"27"	"Dakota County, MN"	"27037"	15	5176	2.90 (Unreliable)
	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	81	15974	5.07
	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	32	7281	4.40
	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	168	35988	4.67
	"Mississippi"	"28"	"Hinds County, MS"	"28049"	28	3536	7.92
	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	357	36500	9.78
	"Missouri"	"29"	"Greene County, MO"	"29077"	Missing County	Missing County	Missing County
	"Missouri"	"29"	"Jackson County, MO"	"29095"	67	9781	6.85
	"Missouri"	"29"	"St. Charles County, MO"	"29183"	27	4593	5.88
	"Missouri"	"29"	"St. Louis County, MO"	"29189"	74	11682	6.33
	"Missouri"	"29"	"St. Louis city, MO"	"29510"	48	4812	9.98
	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	288	45891	6.28
	"Montana"	"30"	"Unidentified Counties, MT"	"30999"	72	12060	5.97
	"Nebraska"	"31"	"Douglas County, NE"	"31055"	50	8205	6.09
	"Nebraska"	"31"	"Lancaster County, NE"	"31109"	22	4152	5.30
	"Nebraska"	"31"	"Unidentified Counties, NE"	"31999"	63	13561	4.65
	"Nevada"	"32"	"Clark County, NV"	"32003"	140	26752	5.23
	"Nevada"	"32"	"Washoe County, NV"	"32031"	36	5445	6.61
	"Nevada"	"32"	"Unidentified Counties, NV"	"32999"	22	3737	5.89
